sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_TB1-T1a,HM86,TB1,T1a,a,HM86_TB1-T1a_R1.fastq.gz,HM86_TB1-T1a_R2.fastq.gz,1.658479,2.464823,0.412,TB_Rep1,1.80E+08,8399-SP-12,2.653156,1,5.48E-02,8.255272505,2.88E-03,1.464829138
HM86_TB1-T1b,HM86,TB1,T1b,b,HM86_TB1-T1b_R1.fastq.gz,HM86_TB1-T1b_R2.fastq.gz,1.667009,2.216889,0.857,TB_Rep1,1.85E+08,8399-SP-13,2.813042,1.5,3.98E+00,8.267171728,1.99E-01,2.227335163
HM86_TB1-T2a,HM86,TB1,T2a,a,HM86_TB1-T2a_R1.fastq.gz,HM86_TB1-T2a_R2.fastq.gz,1.537889,2.314612,2.61,TB_Rep1,1.35E+09,8399-SP-14,2.283081,2,3.08E+00,9.130333768,1.41E-01,0.917854371
HM86_TB1-T2b,HM86,TB1,T2b,b,HM86_TB1-T2b_R1.fastq.gz,HM86_TB1-T2b_R2.fastq.gz,1.435023,1.717293,4.13,TB_Rep1,6.30E+09,8399-SP-15,1.625358,2.5,5.75E-01,9.799340549,2.53E-02,0.723493612
HM86_TB1-T3a,HM86,TB1,T3a,a,HM86_TB1-T3a_R1.fastq.gz,HM86_TB1-T3a_R2.fastq.gz,1.336226,1.808322,5.93,TB_Rep1,8.40E+09,8399-SP-16,1.463022,3,3.49E-01,9.924279286,1.52E-02,-0.037447903
HM86_TB1-T3b,HM86,TB1,T3b,b,HM86_TB1-T3b_R1.fastq.gz,HM86_TB1-T3b_R2.fastq.gz,1.19199,1.534657,5.82,TB_Rep1,1.00E+10,8399-SP-17,1.2385,3.5,2.44E-01,10,1.06E-02,0.278627225
HM86_TB1-T4,HM86,TB1,T4,a,HM86_TB1-T4_R1.fastq.gz,HM86_TB1-T4_R2.fastq.gz,1.190352,1.374964,6.69,TB_Rep1,1.13E+10,8399-SP-18,1.158429,4,8.48E-02,10.05307844,3.66E-03,0.252310444
HM86_TB1-T5,HM86,TB1,T5,a,HM86_TB1-T5_R1.fastq.gz,HM86_TB1-T5_R2.fastq.gz,1.118347,1.342817,8.61,TB_Rep1,1.23E+10,8399-SP-19,1.08535,5,1.60E+00,10.08990511,6.67E-02,0.088848635
HM86_TB1-T6,HM86,TB1,T6,a,HM86_TB1-T6_R1.fastq.gz,HM86_TB1-T6_R2.fastq.gz,1.16422,1.441344,9.41,TB_Rep1,6.10E+10,8399-SP-20,1.054759,6,,10.78532984,,
HM86_TB2-T_O-N,HM86,TB2,0,a,HM86_TB2-T_O-N_R1.fastq.gz,HM86_TB2-T_O-N_R2.fastq.gz,1.118495,1.240806,0.077,TB_Rep2,6.10E+07,8399-SP-31,1,0,9.00E-01,7.785329835,4.90E-02,1.430746124
HM86_TB2-T1a,HM86,TB2,T1a,a,HM86_TB2-T1a_R1.fastq.gz,HM86_TB2-T1a_R2.fastq.gz,1.651124,2.041798,0.322,TB_Rep2,1.50E+08,8399-SP-32,2.008477,1,9.81E-01,8.176091259,5.15E-02,1.584241769
HM86_TB2-T1b,HM86,TB2,T1b,b,HM86_TB2-T1b_R1.fastq.gz,HM86_TB2-T1b_R2.fastq.gz,1.827869,2.2269,0.711,TB_Rep2,2.45E+08,8399-SP-33,2.371757,1.5,2.67E+00,8.389166084,1.34E-01,2.514747162
HM86_TB2-T2a,HM86,TB2,T2a,a,HM86_TB2-T2a_R1.fastq.gz,HM86_TB2-T2a_R2.fastq.gz,1.552473,1.924897,2.5,TB_Rep2,9.30E+08,8399-SP-34,2.185281,2,2.76E+00,8.968482949,1.29E-01,1.065956857
HM86_TB2-T2b,HM86,TB2,T2b,b,HM86_TB2-T2b_R1.fastq.gz,HM86_TB2-T2b_R2.fastq.gz,1.736233,1.560048,4.26,TB_Rep2,3.70E+09,8399-SP-35,1.492383,2.5,1.03E+00,9.568201724,4.63E-02,0.485339947
HM86_TB2-T3a,HM86,TB2,T3a,a,HM86_TB2-T3a_R1.fastq.gz,HM86_TB2-T3a_R2.fastq.gz,1.32894,1.706307,5.43,TB_Rep2,6.20E+09,8399-SP-36,1.372019,3,-2.04E-01,9.792391689,-9.05E-03,0.202971229
HM86_TB2-T3b,HM86,TB2,T3b,b,HM86_TB2-T3b_R1.fastq.gz,HM86_TB2-T3b_R2.fastq.gz,1.272311,1.595411,6.01,TB_Rep2,5.60E+09,8399-SP-37,1.188408,3.5,5.44E-01,9.748188027,2.41E-02,0.211386478
HM86_TB2-T4,HM86,TB2,T4,a,HM86_TB2-T4_R1.fastq.gz,HM86_TB2-T4_R2.fastq.gz,1.201448,1.434759,6.68,TB_Rep2,7.35E+09,8399-SP-38,1.080643,4,3.76E-01,9.866287339,1.64E-02,0.271077917
HM86_TB2-T5,HM86,TB2,T5,a,HM86_TB2-T5_R1.fastq.gz,HM86_TB2-T5_R2.fastq.gz,1.131865,1.512533,8.76,TB_Rep2,1.07E+10,8399-SP-39,1.018172,5,1.15E-01,10.02938378,4.95E-03,0.024803977
HM86_TB2-T6,HM86,TB2,T6,a,HM86_TB2-T6_R1.fastq.gz,HM86_TB2-T6_R2.fastq.gz,1.177864,1.105112,8.98,TB_Rep2,1.20E+10,8399-SP-40,0.982411,6,,10.07918125,,
HM86_TB3-T_O-N,HM86,TB3,0,a,HM86_TB3-T_O-N_R1.fastq.gz,HM86_TB3-T_O-N_R2.fastq.gz,1.074356,1.155432,0.122,TB_Rep3,7.65E+07,8399-SP-51,1.00007,0,1.08E+00,7.883661435,5.77E-02,1.44402183
HM86_TB3-T1a,HM86,TB3,T1a,a,HM86_TB3-T1a_R1.fastq.gz,HM86_TB3-T1a_R2.fastq.gz,1.569123,1.984239,0.517,TB_Rep3,2.25E+08,8399-SP-52,2.747804,1,1.49E+00,8.352182518,7.62E-02,1.317423808
HM86_TB3-T1b,HM86,TB3,T1b,b,HM86_TB3-T1b_R1.fastq.gz,HM86_TB3-T1b_R2.fastq.gz,1.668426,2.168841,0.999,TB_Rep3,4.75E+08,8399-SP-53,2.866415,1.5,1.68E+00,8.67669361,8.23E-02,2.185847602
HM86_TB3-T2a,HM86,TB3,T2a,a,HM86_TB3-T2a_R1.fastq.gz,HM86_TB3-T2a_R2.fastq.gz,1.41892,1.930363,2.98,TB_Rep3,1.10E+09,8399-SP-54,2.063198,2,2.75E+00,9.041392685,1.28E-01,0.705279937
HM86_TB3-T2b,HM86,TB3,T2b,b,HM86_TB3-T2b_R1.fastq.gz,HM86_TB3-T2b_R2.fastq.gz,1.309398,1.622937,4.24,TB_Rep3,4.35E+09,8399-SP-55,1.616882,2.5,2.79E-01,9.638489257,1.25E-02,0.584775927
HM86_TB3-T3a,HM86,TB3,T3a,a,HM86_TB3-T3a_R1.fastq.gz,HM86_TB3-T3a_R2.fastq.gz,1.26415,1.523052,5.68,TB_Rep3,5.00E+09,8399-SP-56,1.390665,3,7.84E-02,9.698970004,3.51E-03,0.027972484
HM86_TB3-T3b,HM86,TB3,T3b,b,HM86_TB3-T3b_R1.fastq.gz,HM86_TB3-T3b_R2.fastq.gz,1.137009,1.389999,5.76,TB_Rep3,5.20E+09,8399-SP-57,1.193106,3.5,4.62E-01,9.716003344,2.05E-02,0.068266013
HM86_TB3-T4,HM86,TB3,T4,a,HM86_TB3-T4_R1.fastq.gz,HM86_TB3-T4_R2.fastq.gz,1.108587,1.437263,5.96,TB_Rep3,6.55E+09,8399-SP-58,1.116703,4,1.75E-01,9.8162413,7.70E-03,0.19039847
HM86_TB3-T5,HM86,TB3,T5,a,HM86_TB3-T5_R1.fastq.gz,HM86_TB3-T5_R2.fastq.gz,1.105143,1.211809,7.21,TB_Rep3,7.80E+09,8399-SP-59,1.084899,5,1.38E-01,9.892094603,6.02E-03,0.15869749
HM86_TB3-T6,HM86,TB3,T6,a,HM86_TB3-T6_R1.fastq.gz,HM86_TB3-T6_R2.fastq.gz,1.12365,1.402049,8.45,TB_Rep3,8.95E+09,8399-SP-60,1.120368,6,,9.951823035,,
Stab_HM86_Tb_O-N,HM86,Stab-TB,0,a,Stab_HM86_Tb_O-N_R1.fastq.gz,Stab_HM86_Tb_O-N_R2.fastq.gz,1.119417,1.290371,ND,TB_stability,6.48E+07,8399-SP-61,1.000095,0,1.54E+00,7.811798329,7.88E-02,
