sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2
HM86_TB3-T_O-N,HM86,TB3,T_O-N,a,HM86_TB3-T_O-N_R1.fastq.gz,HM86_TB3-T_O-N_R2.fastq.gz
Stab_HM86_TB2h,HM86,Stab-TB,2h,a,Stab_HM86_TB2h_R1.fastq.gz,Stab_HM86_TB2h_R2.fastq.gz
Stab_HM86_TB3h,HM86,Stab-TB,3h,a,Stab_HM86_TB3h_R1.fastq.gz,Stab_HM86_TB3h_R2.fastq.gz
Stab_HM86_TB4h,HM86,Stab-TB,4h,a,Stab_HM86_TB4h_R1.fastq.gz,Stab_HM86_TB4h_R2.fastq.gz
Stab_HM86_TB5h,HM86,Stab-TB,5h,a,Stab_HM86_TB5h_R1.fastq.gz,Stab_HM86_TB5h_R2.fastq.gz
Stab_HM86_TB6h,HM86,Stab-TB,6h,a,Stab_HM86_TB6h_R1.fastq.gz,Stab_HM86_TB6h_R2.fastq.gz
Stab_HM86_Tb_O-N,HM86,Stab-TB,T_O-N,a,Stab_HM86_Tb_O-N_R1.fastq.gz,Stab_HM86_Tb_O-N_R2.fastq.gz
Stab_HU-HM86_2h_R1,HM86,Stab-HU,2h,a,Stab_HU-HM86_2h_R1_R1.fastq.gz,Stab_HU-HM86_2h_R1_R2.fastq.gz
Stab_HU-HM86_2h_R2,HM86,Stab-HU,2h,b,Stab_HU-HM86_2h_R2_R1.fastq.gz,Stab_HU-HM86_2h_R2_R2.fastq.gz
Stab_HU-HM86_3h_R1,HM86,Stab-HU,3h,a,Stab_HU-HM86_3h_R1_R1.fastq.gz,Stab_HU-HM86_3h_R1_R2.fastq.gz
Stab_HU-HM86_3h_R2,HM86,Stab-HU,3h,b,Stab_HU-HM86_3h_R2_R1.fastq.gz,Stab_HU-HM86_3h_R2_R2.fastq.gz
Stab_HU-HM86_4h_R1,HM86,Stab-HU,4h,a,Stab_HU-HM86_4h_R1_R1.fastq.gz,Stab_HU-HM86_4h_R1_R2.fastq.gz
Stab_HU-HM86_4h_R2,HM86,Stab-HU,4h,b,Stab_HU-HM86_4h_R2_R1.fastq.gz,Stab_HU-HM86_4h_R2_R2.fastq.gz
Stab_HU-HM86_5h_R1,HM86,Stab-HU,5h,a,Stab_HU-HM86_5h_R1_R1.fastq.gz,Stab_HU-HM86_5h_R1_R2.fastq.gz
Stab_HU-HM86_5h_R2,HM86,Stab-HU,5h,b,Stab_HU-HM86_5h_R2_R1.fastq.gz,Stab_HU-HM86_5h_R2_R2.fastq.gz
Stab_HU-HM86_6h_R1,HM86,Stab-HU,6h,a,Stab_HU-HM86_6h_R1_R1.fastq.gz,Stab_HU-HM86_6h_R1_R2.fastq.gz
Stab_HU-HM86_6h_R2,HM86,Stab-HU,6h,b,Stab_HU-HM86_6h_R2_R1.fastq.gz,Stab_HU-HM86_6h_R2_R2.fastq.gz
